iter	Passed	Remaining
487	571	599
488	573	599
489	574	597
490	575	596
491	579	597
492	609	626
493	610	625
494	612	624
495	613	623
496	617	624
497	620	625
498	625	627
499	626	626
500	627	625
501	629	623
502	630	623
503	631	621
504	632	620
505	634	619
506	636	618
507	640	620
508	642	619
509	643	618
510	645	618
511	646	616
512	647	614
513	649	613
514	650	612
515	651	610
516	653	610
517	655	610
518	656	608
519	658	607
520	658	605
521	659	604
522	660	602
523	661	601
524	662	599
525	663	598
526	664	596
527	665	594
528	667	593
529	668	592
530	669	590
531	669	589
532	670	587
533	671	586
534	672	584
535	674	583
536	675	582
537	676	580
538	676	578
539	677	577
540	678	575
541	679	574
542	681	573
543	682	571
544	682	570
545	683	568
546	684	566
547	685	565
548	686	564
549	687	562
550	688	561
551	694	563
552	695	562
553	698	562
554	700	561
555	708	565
556	709	564
557	710	562
558	711	561
559	712	559
560	713	558
561	714	556
562	715	555
563	716	553
564	717	552
565	718	550
566	719	549
567	720	547
568	721	546
569	721	544
570	722	543
571	724	541
572	725	540
573	726	538
574	726	537
575	727	535
576	728	534
577	730	533
578	731	531
579	731	529
580	732	528
581	733	526
582	734	525
583	735	524
584	736	522
585	737	521
586	739	519
587	739	518
588	740	516
589	741	515
590	742	514
591	743	512
592	744	511
593	745	509
594	746	508
595	747	507
596	749	505
597	749	504
598	750	502
599	751	500
600	752	499
601	753	497
602	753	496
603	755	495
604	756	493
605	757	492
606	758	490
607	759	489
608	760	488
609	761	486
610	762	485
611	765	485
612	765	483
613	767	482
614	768	481
615	769	479
616	770	478
617	771	476
618	771	475
619	773	473
620	775	473
621	776	471
622	776	470
623	777	468
624	778	467
625	779	465
626	781	464
627	781	463
628	782	461
629	783	460
630	784	458
631	785	457
632	786	456
633	787	454
634	788	453
635	788	451
636	789	450
637	790	448
638	791	447
639	792	446
640	793	444
641	794	443
642	795	441
643	796	440
644	797	438
645	798	437
646	799	436
647	800	434
648	800	433
649	801	431
650	802	430
651	803	429
652	804	427
653	805	426
654	806	424
655	807	423
656	808	422
657	809	420
658	810	419
659	811	418
660	812	416
661	813	415
662	814	413
663	815	412
664	816	411
665	817	410
666	818	408
667	819	407
668	820	405
669	821	404
670	822	403
671	823	401
672	824	400
673	825	399
674	825	397
675	826	396
676	827	394
677	828	393
678	829	392
679	830	390
680	831	389
681	832	387
682	832	386
683	833	385
684	835	384
685	836	382
686	837	381
687	837	379
688	838	378
689	839	377
690	840	375
691	841	374
692	842	373
693	843	371
694	844	370
695	845	369
696	845	367
697	846	366
698	848	365
699	848	363
700	849	362
701	850	361
702	851	359
703	852	358
704	853	357
705	854	355
706	855	354
707	856	353
708	857	351
709	858	350
710	860	349
711	861	348
712	862	347
713	863	345
714	868	346
715	869	344
716	870	343
717	871	342
718	872	341
719	873	339
720	874	338
721	875	337
722	876	335
723	877	334
724	878	333
725	879	331
726	880	330
727	881	329
728	882	327
729	883	326
730	884	325
731	885	324
732	885	322
733	886	321
734	887	319
735	888	318
736	889	317
737	890	316
738	891	314
739	892	313
740	893	312
741	893	310
742	894	309
743	896	308
744	897	307
745	898	305
746	898	304
747	899	303
748	900	301
749	901	300
750	902	299
751	903	297
752	904	296
753	905	295
754	905	293
755	906	292
756	908	291
757	909	290
758	909	288
759	910	287
760	911	286
761	912	284
762	913	283
763	914	282
764	915	281
765	916	279
766	916	278
767	917	277
768	918	275
769	919	274
770	920	273
771	921	272
772	922	270
773	923	269
774	924	268
775	925	267
776	926	265
777	927	264
778	928	263
779	929	262
780	930	260
781	931	259
782	931	258
783	932	257
784	934	255
785	934	254
786	935	253
787	936	251
788	937	250
789	938	249
790	939	248
791	940	247
792	941	245
793	942	244
794	943	243
795	944	241
796	945	240
797	946	239
798	947	238
799	948	237
800	949	235
801	950	234
802	951	233
803	952	232
804	953	230
805	954	229
806	954	228
807	958	227
808	959	226
809	960	225
810	961	224
811	962	222
812	963	221
813	965	220
814	966	219
815	966	218
816	967	216
817	968	215
818	969	214
819	971	213
820	972	211
821	972	210
822	973	209
823	974	208
824	975	206
825	977	205
826	978	204
827	980	203
828	981	202
829	982	201
830	983	199
831	984	198
832	985	197
833	986	196
834	987	195
835	988	193
836	989	192
837	990	191
838	991	190
839	992	189
840	993	187
841	994	186
842	995	185
843	996	184
844	997	182
845	998	181
846	999	180
847	999	179
848	1001	178
849	1003	177
850	1004	175
851	1005	174
852	1006	173
853	1007	172
854	1009	171
855	1010	170
856	1011	168
857	1013	167
858	1015	166
859	1017	165
860	1019	164
861	1021	163
862	1023	162
863	1023	161
864	1026	160
865	1027	159
866	1029	157
867	1030	156
868	1032	155
869	1034	154
870	1035	153
871	1036	152
872	1038	151
873	1040	150
874	1041	148
875	1042	147
876	1044	146
877	1045	145
878	1047	144
879	1048	142
880	1049	141
881	1050	140
882	1052	139
883	1053	138
884	1054	136
885	1055	135
886	1057	134
887	1059	133
888	1060	132
889	1063	131
890	1064	130
891	1065	129
892	1066	127
893	1067	126
894	1069	125
895	1070	124
896	1072	123
897	1073	121
898	1074	120
899	1076	119
900	1077	118
901	1078	117
902	1079	115
903	1081	114
904	1084	113
905	1085	112
906	1088	111
907	1090	110
908	1091	109
909	1093	108
910	1096	107
911	1098	106
912	1101	104
913	1102	103
914	1103	102
915	1103	101
916	1105	100
917	1106	98
918	1108	97
919	1109	96
920	1110	95
921	1111	94
922	1113	92
923	1114	91
924	1116	90
925	1118	89
926	1120	88
927	1121	87
928	1122	85
929	1124	84
930	1126	83
931	1127	82
932	1127	80
933	1129	79
934	1132	78
935	1133	77
936	1134	76
937	1139	75
938	1140	74
939	1142	72
940	1143	71
941	1145	70
942	1146	69
943	1148	68
944	1150	66
945	1151	65
946	1152	64
947	1154	63
948	1155	62
949	1157	60
950	1158	59
951	1160	58
952	1162	57
953	1163	56
954	1166	54
955	1168	53
956	1169	52
957	1171	51
958	1174	50
959	1176	49
960	1179	47
961	1180	46
962	1181	45
963	1182	44
964	1183	42
965	1185	41
966	1186	40
967	1187	39
968	1189	38
969	1191	36
970	1192	35
971	1194	34
972	1195	33
973	1197	31
974	1198	30
975	1199	29
976	1201	28
977	1203	27
978	1204	25
979	1204	24
980	1206	23
981	1207	22
982	1208	20
983	1209	19
984	1210	18
985	1211	17
986	1212	15
987	1213	14
988	1214	13
989	1215	12
990	1216	11
991	1217	9
992	1218	8
993	1218	7
994	1219	6
995	1220	4
996	1221	3
997	1222	2
998	1223	1
999	1224	0
